InstructorStrength,InstructorRecommend,CommentsOnEffective
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Good powerpoints. Well organized and easy to review afterwards.","Study guides are detailed but wordy.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Good pacing.","Little difficult to review the powerpoint afterwards.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Great pace and demeanor in class",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Ensure that your topics are relevant to the week.",{question_not_shown}
{question_not_shown},"Check slide data consistency.  Emphasize take-away points.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Dirkx is amazing. Excellent lectures, goes at a good pace, explains things clearly, sense of humor, concerned for students. One of the unfortunate aspects of medical school is that we often only get good professors for one or two lectures. It's been really nice to have such a terrifi instructor like Dr. Dirkx for so many lectures. Really helped me understand and grow to love the kidneys.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I am not sure why Dr. Nonas had to give us another lecture on acid-base disorders. It would have been better if this had been done as a small group and the pulmonary embolism lecture then could have been on monday instead of during mall group time when we are supposed to be doing collaborative, hands on learning.",{question_not_shown},{question_not_shown}
"Very informative, patient-centered presentation on dietary needs in CKD.",{question_not_shown},"Dr. Stadler and Dr. McCarthy gave a very informative presentation on dietary needs in CKD patients and while there was absolutely nothing wrong with their presentation, I do strongly question the relevance of providing medical students with this quantity of information about nutrition, which has it's own profession, separate from being a physician. This has been an ongoing theme in the Foundations of Medicine curriculum, we receive, arguably, way too much information about nutrition. I do not think it should be removed completely, but should focus on the big picture -- less protein to prevent X, Y, and Z. Belaboring the amount down to 0.2 gram/kg/day seems excessive and unrealistic for our future practice in any capacity."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The nephrotic and nephritis lectures were amazingly organized. The time and effort placed into making these lectures really paid off and I am thankful for your efforts!",n/a,"The nephrotic and nephritis lectures were some of the best lecture of renal."
{question_not_shown},{question_not_shown},{question_not_shown}
"The nephrotic and nephritis lectures were amazingly organized. The time and effort placed into making these lectures really paid off and I am thankful for your efforts!",n/a,{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Material was interesting, but poorly taught.","This lecture was really unorganized. It was hard to follow the lecture once I went back to reviewing it. Even after rewatching the lecture it was still really difficult and time consuming to learn the material of this lecture.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"It may be beneficial to slow down when pointing on features on a slide. At times, it felt like the histological features that were obvious to you we're not so obvious to me.",{question_not_shown}
